Array.ORF;rep1;rep2;FY5;log.mean.mol;log.median.mol;Pramila.Hits;Spellman.Hits;Orlando.Hits;Granovskaia.Hits;Kelliher.Hits
YAL002W;0.0187;-0.06298;9.4420596969;7.86404842211303;7.20983672982396;0;0;0;0;1
YAL005C;0.03456;0.03411;14.3776389705;13.1738339615745;12.4525459299167;1;0;0;0;0
YAL007C;0.08947;-0.05662;12.2492561889;8.99800668875672;8.82768973335719;1;0;1;1;1
YAL012W;0.00264;0.06936;13.2965815735;10.7559920346779;10.4147118989321;0;0;0;0;1
YAL013W;0.24404;0.2308;7.4384314562;7.72084866031887;7.78649098168949;0;0;0;0;1
YAL014C;-0.06992;-0.0325;9.5588274054;7.61759660276882;7.4217715055207;0;0;0;0;1
YAL022C;0.0434;0.01225;10.617811064;7.92541890347612;7.32553498973445;1;1;0;1;1
YAL023C;-0.1921;-0.32154;12.9393714381;8.74014494957559;8.51822337436818;1;0;0;0;1
YAL024C;-0.14732;-0.13921;8.0918317386;7.0825569898137;7.36066735527435;1;0;1;0;0
YAL030W;0.00763;0.0191;10.1686335553;8.76324031380221;8.49588566328128;0;0;0;0;1
YAL037W;-0.01531;0.0187;6.3851567581;7.0497959153962;7.0497959153962;0;0;0;0;1
YAL039C;-0.0414;0.08258;7.5893726078;7.84833939320048;7.76534737910761;1;0;0;0;0
YAL040C;-0.40613;-0.27615;8.3892360324;6.7719355558396;6.7719355558396;1;1;1;1;1
YAL044C;0.01699;0.07598;13.1643878288;9.92867685816753;9.55160242453473;1;0;1;0;0
YAL044W-A;-0.20366;-0.03032;7.7189156892;8.55507502888587;8.14765922659219;0;0;0;0;1
YAL049C;-0.03275;0.00695;10.1653176858;9.25402403338453;8.68841300871716;0;0;0;0;1
YAL053W;0.00619;-0.16981;8.5734153228;7.93263316277505;7.4940768893926;1;1;1;1;0
YAL059W;-0.08854;0.02372;8.1593176481;8.5023025600607;8.30421442197695;1;0;0;1;0
YAL067C;-0.04239;0.03006;6.3741568111;6.92853781816467;6.92853781816467;0;1;0;0;0
YAR002C-A;-0.01447;-0.01412;10.415595606;9.19950333938266;9.1327145694333;0;0;1;0;1
YAR002W;0.04243;-0.02988;9.6262443998;8.75236056024367;8.48976418544267;0;0;0;0;1
YAR003W;0.01792;0.02521;9.0220247445;7.22193744421766;7.01557495694338;1;1;1;1;1
YAR018C;-0.02947;-0.00773;7.7028963729;6.84464874967324;6.75229119612377;1;1;1;1;1
YAR020C;-0.02129;0.01582;7.9534560074;;;0;0;1;0;0
YAR027W;-0.02316;-0.02078;6.9403504172;7.86710081792574;7.43248380791712;0;0;1;0;0
YAR028W;-0.02221;-0.00092;6.2956199905;7.42110800830465;7.40306109109009;0;0;0;0;1
YAR029W;-0.01603;0.06011;7.8970591272;;;0;0;1;0;1
YAR033W;-0.02291;0.04726;8.9299292318;7.24477130131298;7.24477130131298;0;0;1;0;0
YAR035W;-0.07283;-0.04181;8.1441717935;6.87304416304181;6.95368421087054;0;0;1;0;0
YAR068W;-0.07455;0.05008;9.1883055307;;;1;0;0;0;0
YAR071W;-0.03965;0.03606;9.9281745759;8.71306288255371;8.68614301901129;1;1;1;0;0
YBL001C;-0.01662;0.03592;10.2330135643;9.0675856598589;8.43579475059353;1;0;0;0;0
YBL002W;0.07209;0.06231;11.8625334964;11.676890999676;11.5271277880455;1;1;1;1;1
YBL003C;0.01107;-0.02421;13.5963267389;11.0791355388766;11.1171398372762;1;1;1;1;1
YBL005W;-0.15061;-0.20278;8.0282750222;6.36817500489622;5.41610040220442;0;0;1;1;1
YBL009W;-0.16864;-0.13416;9.3392968625;6.43984266616274;6.29368507445098;1;1;1;1;1
YBL010C;0.11023;-0.003;8.5405557962;7.27945042215129;7.24636808010246;1;0;1;1;1
YBL015W;-0.06229;-0.00455;10.1725025375;9.82805804680764;9.04887474270134;0;0;1;0;0
YBL019W;-0.02174;0.01868;8.7422480878;5.77408173240653;5.97944398565257;0;0;1;0;0
YBL022C;-0.13851;-0.0231;11.2311677408;8.78114998728401;8.68283154915231;0;0;1;0;0
YBL025W;-0.00608;0.06834;8.1171362666;7.24992178545625;6.29658190610619;0;0;1;0;1
YBL028C;0.06;0.06855;6.5825286677;8.83801176379616;8.73391617492752;1;0;0;0;0
YBL029W;-0.20063;-0.41243;7.2439359026;7.08956326099735;7.08956326099735;0;0;1;1;1
YBL031W;-0.92516;-0.93665;7.4148033505;6.69780058346515;6.77278506867517;1;0;1;1;1
YBL032W;-0.56536;-0.59958;9.5562094831;9.21319099598237;9.07640985221768;1;0;1;1;1
YBL039C;0.01693;0.04782;10.4356404135;9.96619884863308;9.95800138925397;1;0;0;0;0
YBL045C;0.20871;0.19191;11.5257234925;10.3752799614084;9.5464827434836;0;0;0;0;1
YBL052C;-0.04242;-0.01225;8.6276413452;7.1118109916244;6.80125427392407;1;1;1;1;1
YBL058W;0.24275;0.17457;10.8632066559;9.05234324348117;8.77681811457691;0;0;1;0;0
YBL059C-A;-0.0595;-0.01403;6.6585369514;7.81902975389709;7.51181533002915;0;0;1;0;0
YBL061C;-0.06255;-0.02336;9.1675933789;7.89171116692155;8.01577699440841;1;1;0;0;1
YBL063W;-0.82397;-0.80832;7.8130618877;7.39254776320925;6.81299546637068;1;1;1;1;1
YBL064C;-0.08977;-0.01478;10.9690319213;9.31538290883836;8.99495547951042;1;1;0;0;0
YBL067C;-0.15521;-0.28891;9.571346582;7.50991597245745;7.47257551081764;0;0;0;1;0
YBL069W;-0.00676;0.04358;8.7372083705;8.03875959651019;8.01225038661387;0;0;1;1;1
YBL071C-B;-0.04836;0.01941;5.9678302122;;;0;0;1;0;0
YBL078C;-0.14036;0.01928;8.4199339931;8.20281609318484;7.78324209442698;0;0;1;0;0
YBL079W;-0.33184;-0.32281;9.5491237612;8.13477071203496;8.1433924241951;0;0;0;0;1
YBL082C;-0.01861;-0.00349;9.3323891516;7.434024500033;7.29409506049874;1;0;1;0;0
YBL085W;0.0187;-0.02486;8.3315158607;8.0770266505981;7.83439230291044;1;0;1;0;1
YBL086C;-0.01755;-0.05902;6.6545067632;7.49477153950176;7.3569096525284;1;0;0;0;0
YBL091C;-0.05303;0.13721;11.8414321106;8.78333861340352;8.72619394319893;0;0;0;0;1
YBL093C;0.22823;0.34617;9.648282367;7.86827978334635;7.8768079675187;0;0;0;0;1
YBL095W;-0.07888;0.00087;9.8399130241;7.53702344824592;7.19575809421531;0;0;1;0;0
YBL098W;-0.13475;-0.2432;8.7238424732;8.12254888262826;7.9741878596646;1;1;0;0;0
YBL101C;-0.07064;-0.11221;8.8619291917;7.9942363211164;7.9756078786628;1;0;0;0;0
YBL107C;-0.23728;-0.18035;7.1990237554;7.45479301724523;7.31731095184056;0;0;1;0;0
YBL108C-A;0.013;0.00496;8.6058422279;;;0;0;1;0;0
YBL111C;0.03572;0.03222;8.0152077202;7.55451651798372;7.09945007274217;1;1;1;0;0
YBL112C;-0.00984;-0.04834;9.599741088;;;1;1;1;0;0
YBL113C;-0.04003;-0.11364;11.8673407058;6.78135962246999;6.78135962246999;1;1;1;0;1
YBR007C;0.00059;0.01883;7.6878177382;7.29347515205562;7.38211933404673;0;1;1;0;1
YBR008C;0.00092;-0.05757;8.322950799;7.83625033474127;7.83625033474127;1;1;1;1;1
YBR009C;0.19707;0.10231;14.0844988557;11.2042121342709;10.1351820268289;1;1;1;1;1
YBR010W;-0.08479;-0.03402;12.1384306409;11.0719149704418;9.49274379031981;1;1;1;1;1
YBR015C;0.14219;0.09984;10.792966715;8.94234916096304;8.86105171242734;1;0;1;1;1
YBR017C;-0.53317;-0.49309;10.39459462;8.53704914106103;8.46684768056774;0;0;1;0;0
YBR018C;-0.00236;0.03769;6.32990976;6.38167290060919;6.38167290060919;0;0;1;0;0
YBR023C;-0.04858;0.01717;10.9478715188;7.8297552433061;7.84160739584073;1;0;1;0;0
YBR025C;0.01146;0.01403;13.3563224118;10.6470637766525;10.5514728984783;0;0;0;0;1
YBR026C;-0.03266;0.02439;8.3654521922;9.46235989268389;9.14714964229564;0;0;1;0;0
YBR028C;-0.02492;0.05423;10.2179564941;7.97387738185686;8.07007902033946;1;0;0;0;1
YBR037C;0.00566;0.02464;9.8123130077;7.9785004117022;7.8106848961046;0;0;0;0;1
YBR041W;0.0205;0.11949;11.2295335121;8.64627106283711;8.40584373879814;1;0;1;0;1
YBR042C;0.04505;-0.00019;8.0678331439;7.60205409873437;7.58256315386794;0;0;1;1;1
YBR044C;-0.11987;-0.11411;7.2573735599;6.96405938673793;7.05413050570533;0;0;0;0;1
YBR046C;0.02802;0.04562;8.2821431005;8.75531358806434;8.424778836082;0;0;1;0;0
YBR052C;0.01012;0.02098;12.5074305443;9.17495576531942;8.86572906162817;0;0;1;0;0
YBR053C;-0.01342;0.08254;7.3664900721;8.76773372408763;8.71281656005564;0;1;1;0;0
YBR054W;-0.05337;0.01715;9.0377201798;8.93175655114951;8.60788989172434;1;1;1;1;1
YBR056W;-0.00157;0.04584;9.9581065338;9.41869703527625;8.71210186371566;1;0;1;0;0
YBR059C;-0.74316;-0.84862;10.4722754639;8.45172063289429;8.30857149038269;0;0;1;0;0
YBR066C;-0.00893;0.06993;8.4559502951;6.99069829540131;6.99069829540131;1;0;0;0;0
YBR067C;0.00964;0.06702;9.2851503855;9.70620967546492;9.57287458748444;1;1;1;1;1
YBR069C;0.04383;0.01018;7.01033736;8.43017551055256;8.13857801762303;1;1;0;0;0
YBR071W;-0.03361;-0.00822;9.3486669085;7.47133751351398;7.37762273014848;1;1;1;1;1
YBR072W;0.02402;0.01508;11.2319992684;12.2132315564209;9.88883856241881;1;0;0;0;0
YBR073W;0.02641;0.04024;9.8487469019;8.05821993663776;7.83263122925061;1;1;1;1;1
YBR074W;-0.3216;-0.34596;10.2786521335;8.09018551548913;8.11575323668921;1;0;0;0;0
YBR077C;0.04645;0.04389;8.0560013568;8.33212506513059;8.27063326511429;0;0;0;0;1
YBR078W;0.1448;0.11705;13.4454558512;9.99003390546956;9.8979478185315;1;0;1;0;1
YBR081C;0.42684;0.29388;9.8432977115;7.90823884314064;7.74930164902955;0;0;0;0;1
YBR082C;0.14352;0.06849;10.5206819911;9.80015895515204;9.55902792875369;0;0;0;0;1
YBR083W;-0.04272;-0.02797;9.5721009816;7.92764459968841;7.04873252371851;1;1;1;1;1
YBR085C-A;-0.00057;-0.04629;10.4071979165;10.2000019559628;9.81186499298529;0;0;1;1;0
YBR085W;0.09339;-0.01987;8.0779057978;8.73163006573307;6.98471632011827;0;0;0;0;1
YBR086C;-0.13434;-0.15706;11.0555266591;8.71921477983491;8.32448094501962;1;1;1;1;1
YBR090C;-0.01384;0.03423;7.1153372315;9.19336947073371;9.16163709465709;0;0;1;0;0
YBR092C;-0.03865;-0.02418;9.5463639753;8.68624101034199;8.25263599941493;1;1;1;1;1
YBR093C;-0.10869;-0.00784;8.9112688978;8.22953138545066;7.49164898658572;1;1;1;0;0
YBR094W;0.01801;-0.01387;9.0108711617;8.20233654358869;8.01344860379182;1;1;0;0;1
YBR098W;0.05498;0.04503;7.3252630498;6.45048320873681;6.3011904077529;0;0;0;1;1
YBR101C;0.05063;0.05656;7.7462566984;9.4256466556616;9.1265002831604;0;0;0;0;1
YBR103W;-0.53951;-0.59112;9.2414199865;7.53934514000797;7.62447592677812;1;0;1;0;1
YBR104W;0.00219;-0.01027;9.353101402;7.99787567134625;7.3323450965766;0;0;1;0;1
YBR106W;-0.53111;-0.50269;12.2413312275;10.4277700288159;10.3355039834335;0;0;0;0;1
YBR107C;-0.08513;-0.04956;7.1263168547;7.57059154465878;7.42139433541778;0;0;0;0;1
